474,15,4009,34,12,13,4000,61,10,29,223,68,4013,16,22,1,
505,52,4007,21,17,27,4021,66,28,33,74,25,4061,27,25,11,
437,32,4030,37,27,34,4080,32,31,41,59,37,4051,30,31,11,
488,50,4012,21,77,47,4014,27,18,70,32,74,4009,19,31,11,
304,13,4305,15,13,17,4021,16,14,57,15,24,4147,15,17,7,
380,19,4200,11,26,11,4000,28,27,20,245,11,4000,11,10,1,
510,11,4000,11,11,11,4312,11,10,11,11,69,4000,11,10,1,
1681,22,8328,52,1066,18,6780,76,19,237,107,11,4060,16,18,9,
1498,65,8196,91,1476,117,6250,133,10,311,177,24,4000,141,10,1,
1224,115,8148,12,1620,39,6672,66,10,241,139,150,4000,53,10,1,
1769,155,7252,444,1300,125,5940,162,102,350,170,171,4322,128,103,7,
1333,60,8278,428,1026,125,6152,136,105,355,108,98,4189,59,37,11,
1331,190,8089,53,1609,68,6364,11,16,275,194,238,4000,11,50,1,
1721,101,8091,129,1233,123,6051,139,10,315,209,99,4090,86,102,1,
1732,208,7054,34,1203,103,5891,167,72,355,220,492,4737,167,63,2,
1547,143,8158,258,983,62,6297,69,65,303,153,138,4258,29,26,11,
1498,208,7987,145,1354,11,6262,120,51,296,206,296,4000,11,54,1,
1573,28,8247,376,1003,118,5853,89,100,348,247,183,4295,17,18,5,
1333,94,8430,11,1133,11,6760,38,10,242,141,275,4000,11,10,1,
1231,159,8369,627,797,11,6464,11,10,264,152,14,4369,11,10,1,
1493,11,8138,327,1340,11,6209,11,10,302,195,304,4092,11,45,1,
1675,123,8086,11,1347,11,5841,72,10,342,214,331,4317,109,10,1,
1674,11,7858,510,1461,11,6198,11,10,299,211,126,4000,68,51,1,
1690,199,7130,11,950,39,6424,109,55,303,193,470,4844,72,10,1,
1689,175,8244,511,198,11,6753,11,10,284,71,331,4190,11,10,1,
1543,224,8186,304,939,11,6531,109,90,290,77,59,4022,67,47,1,
1134,80,8330,110,1593,76,6032,44,37,315,194,384,4054,83,33,1,
1075,11,8638,591,962,11,6359,11,27,285,186,295,4000,11,37,1,
1463,55,8130,533,917,50,6442,71,45,333,237,57,4046,58,52,11,
1547,126,8168,33,1477,11,6601,11,10,316,11,155,4000,23,10,1,
1657,53,8277,43,1100,71,6053,54,68,315,195,159,4334,88,32,1,
1671,202,7252,301,982,11,5974,59,26,335,209,439,4840,149,49,1,
1697,239,7892,480,1085,114,5896,101,98,347,184,18,4264,72,10,3,
1239,11,8421,411,950,38,6783,96,10,270,166,83,4000,11,10,1,
1760,57,7288,20,1499,61,5878,41,43,339,235,480,4697,77,24,1,
1467,194,7914,698,935,11,6392,144,20,337,92,69,4165,51,10,1,
1430,54,8954,298,517,114,5863,124,10,343,241,360,4148,33,10,1,
1760,243,7893,19,1097,19,6461,136,26,341,73,225,4169,15,22,1,
1059,11,8815,92,986,11,7017,11,12,272,146,46,4000,11,10,1,
